# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669940000000618,1117,4000669939999999501,SIEVE
4000669940000000620,1103,4000669939999999517,QHOT
4000669940000000622,769,4000669939999999853,QHOT
4000669940000000624,1123,4000669939999999501,QHOT
4000669940000000626,1109,4000669939999999517,QHOT
4000669940000000628,941,4000669939999999687,QHOT
4000669940000000630,1129,4000669939999999501,QHOT
4000669940000000632,1013,4000669939999999619,QHOT
4000669940000000634,131,4000669940000000503,QHOT
4000669940000000636,907,4000669939999999729,QHOT
4000669940000000638,971,4000669939999999667,QHOT
4000669940000000640,137,4000669940000000503,QHOT
4000669940000000642,139,4000669940000000503,QHOT
4000669940000000644,977,4000669939999999667,QHOT
4000669940000000646,1129,4000669939999999517,QHOT
4000669940000000648,457,4000669940000000191,QHOT
4000669940000000650,797,4000669939999999853,QHOT
4000669940000000652,1151,4000669939999999501,QHOT
4000669940000000654,1153,4000669939999999501,QHOT
4000669940000000656,839,4000669939999999817,QHOT
4000669940000000658,971,4000669939999999687,QHOT
4000669940000000660,157,4000669940000000503,QHOT
4000669940000000662,809,4000669939999999853,QHOT
4000669940000000664,1163,4000669939999999501,QHOT
4000669940000000666,163,4000669940000000503,QHOT
4000669940000000668,1151,4000669939999999517,QHOT
4000669940000000670,167,4000669940000000503,QHOT
4000669940000000672,1171,4000669939999999501,QHOT
4000669940000000674,821,4000669939999999853,QHOT
4000669940000000676,173,4000669940000000503,QHOT
4000669940000000678,991,4000669939999999687,QHOT
4000669940000000680,1163,4000669939999999517,QHOT
4000669940000000682,1181,4000669939999999501,QHOT
4000669940000000684,181,4000669940000000503,QHOT
4000669940000000686,1019,4000669939999999667,QHOT
4000669940000000688,1187,4000669939999999501,QHOT
4000669940000000690,457,4000669940000000233,QHOT
4000669940000000692,839,4000669939999999853,QHOT
4000669940000000694,1193,4000669939999999501,QHOT
4000669940000000696,193,4000669940000000503,QHOT
4000669940000000698,1181,4000669939999999517,QHOT
4000669940000000700,197,4000669940000000503,QHOT
4000669940000000702,1201,4000669939999999501,QHOT
4000669940000000704,1187,4000669939999999517,QHOT
4000669940000000706,1019,4000669939999999687,QHOT
4000669940000000708,1021,4000669939999999687,QHOT
4000669940000000710,1193,4000669939999999517,QHOT
4000669940000000712,859,4000669939999999853,QHOT
4000669940000000714,1213,4000669939999999501,QHOT
4000669940000000716,863,4000669939999999853,QHOT
4000669940000000718,1217,4000669939999999501,QHOT
4000669940000000720,1033,4000669939999999687,QHOT
4000669940000000722,641,4000669940000000081,QHOT
4000669940000000724,1223,4000669939999999501,QHOT
4000669940000000726,223,4000669940000000503,QHOT
4000669940000000728,1061,4000669939999999667,QHOT
4000669940000000730,1229,4000669939999999501,QHOT
4000669940000000732,1231,4000669939999999501,QHOT
4000669940000000734,1217,4000669939999999517,QHOT
4000669940000000736,233,4000669940000000503,QHOT
4000669940000000738,1237,4000669939999999501,QHOT
4000669940000000740,1223,4000669939999999517,QHOT
4000669940000000742,239,4000669940000000503,QHOT
4000669940000000744,241,4000669940000000503,QHOT
4000669940000000746,1229,4000669939999999517,QHOT
4000669940000000748,1061,4000669939999999687,QHOT
4000669940000000750,1249,4000669939999999501,QHOT
4000669940000000752,5,4000669940000000747,SIEVE
4000669940000000754,7,4000669940000000747,QHOT
4000669940000000756,1069,4000669939999999687,QHOT
4000669940000000758,11,4000669940000000747,QHOT
4000669940000000760,13,4000669940000000747,QHOT
4000669940000000762,571,4000669940000000191,QHOT
4000669940000000764,17,4000669940000000747,QHOT
4000669940000000766,19,4000669940000000747,QHOT
4000669940000000768,577,4000669940000000191,QHOT
4000669940000000770,23,4000669940000000747,QHOT
4000669940000000772,269,4000669940000000503,QHOT
4000669940000000774,271,4000669940000000503,QHOT
4000669940000000776,29,4000669940000000747,QHOT
4000669940000000778,31,4000669940000000747,QHOT
4000669940000000780,1279,4000669939999999501,QHOT
4000669940000000782,929,4000669939999999853,QHOT
4000669940000000784,37,4000669940000000747,QHOT
4000669940000000786,283,4000669940000000503,QHOT
4000669940000000788,41,4000669940000000747,QHOT
4000669940000000790,43,4000669940000000747,QHOT
4000669940000000792,1291,4000669939999999501,QHOT
4000669940000000794,47,4000669940000000747,QHOT
4000669940000000796,293,4000669940000000503,QHOT
4000669940000000798,1297,4000669939999999501,QHOT
4000669940000000800,53,4000669940000000747,QHOT
4000669940000000802,1301,4000669939999999501,QHOT
4000669940000000804,1303,4000669939999999501,QHOT
4000669940000000806,59,4000669940000000747,QHOT
4000669940000000808,61,4000669940000000747,QHOT
4000669940000000810,307,4000669940000000503,QHOT
4000669940000000812,1193,4000669939999999619,QHOT
4000669940000000814,67,4000669940000000747,QHOT
4000669940000000816,313,4000669940000000503,QHOT
4000669940000000818,71,4000669940000000747,QHOT
4000669940000000820,73,4000669940000000747,QHOT
4000669940000000822,1321,4000669939999999501,QHOT
4000669940000000824,1307,4000669939999999517,QHOT
4000669940000000826,79,4000669940000000747,QHOT
4000669940000000828,1327,4000669939999999501,QHOT
4000669940000000830,83,4000669940000000747,QHOT
4000669940000000832,599,4000669940000000233,QHOT
4000669940000000834,331,4000669940000000503,QHOT
4000669940000000836,89,4000669940000000747,QHOT
4000669940000000838,1151,4000669939999999687,QHOT
4000669940000000840,337,4000669940000000503,QHOT
4000669940000000842,761,4000669940000000081,QHOT
4000669940000000844,97,4000669940000000747,QHOT
4000669940000000846,613,4000669940000000233,QHOT
4000669940000000848,101,4000669940000000747,QHOT
4000669940000000850,103,4000669940000000747,QHOT
4000669940000000852,349,4000669940000000503,QHOT
4000669940000000854,107,4000669940000000747,QHOT
4000669940000000856,109,4000669940000000747,QHOT
4000669940000000858,1171,4000669939999999687,QHOT
4000669940000000860,113,4000669940000000747,QHOT
4000669940000000862,1361,4000669939999999501,QHOT
4000669940000000864,631,4000669940000000233,QHOT
4000669940000000866,1013,4000669939999999853,QHOT
